Tree_size_category,yr,cm,annualprec,summerpdsi,wintertemp
Poletimbers,1998,16.084615384615383,1.7650000000000001,-0.795,5.63333333333333
Poletimbers,2002,16.313333333333333,1.8056000000000003,-1.055,5.4
Poletimbers,2004,16.787499999999998,1.8532,-0.795,5.1
Poletimbers,2006,17.0,1.4533,-2.0425,5.66666666666667
Poletimbers,2008,17.42,1.5392,-2.47,4.83333333333333
Poletimbers,2010,17.414285714285715,1.4914,-1.5675000000000001,2.03333333333333
Poletimbers,2011,17.407692307692308,2.0694,-0.38750000000000007,5.13333333333333
Saplings,1998,6.770370370370371,1.7649999999999997,-0.795,5.63333333333333
Saplings,2002,6.315384615384615,1.8055999999999999,-1.055,5.4
Saplings,2004,6.359259259259259,1.8532,-0.795,5.1
Saplings,2006,6.408695652173913,1.4533,-2.0425,5.66666666666667
Saplings,2007,2.6,1.2303,-2.835,5.86666666666667
Saplings,2008,6.343478260869565,1.5391999999999997,-2.47,4.83333333333333
Saplings,2010,6.441666666666666,1.4913999999999998,-1.5675,2.03333333333333
Saplings,2011,6.372000000000001,2.0694,-0.3875,5.13333333333333
Sawtimbers,1998,34.08125,1.765,-0.795,5.63333333333333
Sawtimbers,2002,34.53125,1.8056,-1.055,5.4
Sawtimbers,2004,35.0,1.8532,-0.795,5.1
Sawtimbers,2006,33.94375,1.4533,-2.0425,5.66666666666667
Sawtimbers,2008,34.3625,1.5392,-2.47,4.83333333333333
Sawtimbers,2010,34.833333333333336,1.4914,-1.5675,2.03333333333333
Sawtimbers,2011,35.11666666666667,2.0694,-0.3875,5.13333333333333
Seedlings,1998,1.9636363636363634,1.765,-0.795,5.63333333333333
Seedlings,2002,1.9363636363636365,1.8056000000000003,-1.055,5.4
Seedlings,2004,2.07,1.8532,-0.795,5.1
Seedlings,2006,2.12,1.4533,-2.0425,5.66666666666667
Seedlings,2007,1.1785714285714286,1.2303,-2.835,5.86666666666667
Seedlings,2008,1.591304347826087,1.5391999999999997,-2.47,4.83333333333333
Seedlings,2010,1.7190476190476192,1.4914,-1.5675,2.03333333333333
Seedlings,2011,1.6333333333333333,2.0694,-0.3875,5.13333333333333
