Tree_size_category,yr,annualprec,summerpdsi,wintertemp,cm_growth
Poletimbers,2002,1.8056000000000003,-1.055,5.4,0.0035549179021202026
Poletimbers,2004,1.8532,-0.795,5.1,0.014533101757253752
Poletimbers,2006,1.4533,-2.0425,5.66666666666667,0.006329113924050667
Poletimbers,2008,1.5392,-2.47,4.83333333333333,0.012352941176470678
Poletimbers,2010,1.4914,-1.5675000000000001,2.03333333333333,-0.0001640150893882364
Poletimbers,2011,2.0694,-0.38750000000000007,5.13333333333333,-0.000378620559096321
Saplings,2002,1.8055999999999999,-1.055,5.4,-0.016800622790775988
Saplings,2004,1.8532,-0.795,5.1,0.003473631975459024
Saplings,2006,1.4533,-2.0425,5.66666666666667,0.003886961586184179
Saplings,2007,1.2303,-2.835,5.86666666666667,-0.2971506105834464
Saplings,2008,1.5391999999999997,-2.47,4.83333333333333,0.7198996655518395
Saplings,2010,1.4913999999999998,-1.5675,2.03333333333333,0.01547863833676022
Sawtimbers,2002,1.8056,-1.055,5.4,0.006601870529983511
Sawtimbers,2004,1.8532,-0.795,5.1,0.006787330316742057
Sawtimbers,2006,1.4533,-2.0425,5.66666666666667,-0.015089285714285694
Sawtimbers,2008,1.5392,-2.47,4.83333333333333,0.006168293132019831
Sawtimbers,2010,1.4914,-1.5675,2.03333333333333,0.013701952225051661
Sawtimbers,2011,2.0694,-0.3875,5.13333333333333,-0.0020334928229664984
Seedlings,2002,1.8056000000000003,-1.055,5.4,-0.006944444444444364
Seedlings,2004,1.8532,-0.795,5.1,0.06901408450704216
Seedlings,2006,1.4533,-2.0425,5.66666666666667,-0.0018580453363062142
Seedlings,2007,1.2303,-2.835,5.86666666666667,-0.11101752021563344
Seedlings,2008,1.5391999999999997,-2.47,4.83333333333333,0.175098814229249
Seedlings,2010,1.4914,-1.5675,2.03333333333333,0.04013791308873271
Seedlings,2011,2.0694,-0.3875,5.13333333333333,-0.024930747922437713
